
h_comment_date,h_content_comment,h_rating,h_reviever_helpfulvote,h_reviewer_address,h_reviewer_contribution,h_reviewer_id,h_reviewer_name,h_reviewer_staydate,h_title_comment,h_triptype,h_url
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 22,I have received harassing emails from staff every single day saying I must upgrade my rokm because it will not accommodate my 2 month old infant. This is absolutely ridiculous. What kind of customer service and staff is this?? I have stayed at many 5 star hotels and never been harassed like this before. Paying over $500 per night and we haven’t even arrived yet and already this has been the biggest nightmare ever thanks to the hotel staff.,10,115,"Vancouver, Canada",82,https://www.tripadvisor.com/Profile/vancouerite887,vancouerite887,Date of stay: March 2022,NOT FOR FAMILIES - AVOID,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Nov 2021,"What an incredible hotel. From the first greeting by the friendly door staff, a smooth an welcoming check in and then on to an uber luxurious room. I spent one night in a Devonshire suite which provided fantastic city views, notably The Gherkin which at night was spectacular. The room was modern yet luxurious and extremely comfortable. I got to experience all aspects of the hotel. Room service - super prompt and efficient The Straits Kitchen - delicious food, a wonderful Singaporean adventure was had. The staff were attentive, friendly and such fun characters. Ginger Lily - A great cocktail bar full of devious options. I cannot fault this hotel, if has to be the best hotel in London. I will certainly visit again. Thank you for a wonderful experience.",50,55,"London, United Kingdom",121,https://www.tripadvisor.com/Profile/HolidayingAgent,HolidayingAgent,Date of stay: November 2021,A spectacular hidden gem in London. THE BEST!!,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 21,"Excellent experience at the brand new Pan Pacific. This is sleek, stylish luxury hotel in the City (London’s financial district). The location is both good and bad due to that, depending on why you are in town. The hotel takes up the bottom half of a new skyscraper topped by residences. A lot of people aren’t familiar with the Pan Pacific chain… it’s more of an Asian and West Coast chain. The last one I stayed at was in Seattle, when it had just opened 15 years ago. This one is much better. As far as ambience and decor, it is on par with a Ritz-Carlton or St. Regis and maybe even a Four Seasons. (If I didn’t see the PP signage, I would guessed any of those three). ‘ I was traveling during Omicron so it was challenging to actually just get into the UK. My arrival was made much",50,648,"Santa Monica, California",322,https://www.tripadvisor.com/Profile/andrew-s-wood,Andrew W,Date of stay: January 2022,"Stunning, state-of-the-art hotel with excellent front desk staff and concierge",,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 19,"Every thing in this hotel is outstanding, by far one of the nicest hotels I’ve been in. Starting from arrival the concierge team are so welcoming and helpful. The amenities in this hotel are from the top line ( dyson hair dryer etc ) the room is extremely specious and the bathroom is luxurious. Complementary high end snacks and treats. Beyond my expectations!",50,3,"Tel Aviv, Israel",19,https://www.tripadvisor.com/Profile/89veredm,Vered M,Date of stay: March 2022,The finest hotel I’ve been to,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 18,"I didn't know a Pan Pacific Hotel had opened in London until someone mentioned it to me last week. Booked to stay for 1 night last night. Very friendly staff, lovely room, great pool. I had previously stayed in the Pan Pacific Hotel in Vancouver over 25 years ago. I will definitely return to this lovely new addition in London.",50,55,United Kingdom,50,https://www.tripadvisor.com/Profile/28Suzie,28Suzie,Date of stay: March 2022,Very pleasantly impressed,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 16,"Amazing visit from the moment we walked trough the entrance. we felt very welcome, the hotel is stunning and the staff are amazing. nothing was to much trouble. we could sit in the lounge with glass of something and just watch the world go by. the restaurant's, food, rooms are truly stunning. we saved for this weekend for a big birthday treat, but treated like we came to stay every weekend, Amazing!!",50,NA,NA,1,https://www.tripadvisor.com/Profile/A3557QPandyb,Andy B,Date of stay: March 2022,50th weekend treat,NA,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 14,"The most helpful, polite and caring staff ever. The room was stunning, clean and comfortable, anything you could have asked for was ready and waiting for you in your room, from the Dyson hairdryer to the Nespresso coffee machine. Food, drinks and atmosphere were all also perfect. I could not find a fault in my stay, I just wish i'd had longer there!",50,NA,NA,1,https://www.tripadvisor.com/Profile/kirstyd815,Kirsty D,Date of stay: March 2022,A perfect stay,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 8,Pan Pacific London is a world-class hotel. The rooms are incredible and beautifully appointed. Also the pool area is incredible. The team are amazing: particular shout out to Conor in the Concierge team. Cannot recommend this hotel enough as one of the best hotels in London.,50,NA,NA,1,https://www.tripadvisor.com/Profile/Hugh266865,Hugh266865,Date of stay: January 2022,World-class hotel,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
 wrote a review Mar 8,From checking the service was outstanding. Even managing to book a reservation for breakfast externally going the extra mile to do so. The doormen was so helpful with showing the room utilities and assisting with bags. The location is great - two mins walk to Liverpool st station giving access to west end via central line. Pool slightly cold in temperature but super clean and plenty of towels. Just hopeful they can get a car park closer to the hotel. Have already recommended to many and would book again without hesitation.,50,6,NA,18,https://www.tripadvisor.com/Profile/SianAS,SianAS,Date of stay: March 2022,Exceptional,,https://www.tripadvisor.com/Hotel_Review-g186338-d23274923-Reviews-Pan_Pacific_London-London_England.html
