h_comment_date,h_content_comment,h_rating,h_reviever_helpfulvote,h_reviewer_address,h_reviewer_contribution,h_reviewer_id,h_reviewer_name,h_reviewer_staydate,h_title_comment,h_triptype,h_url
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Jun 2020,"The location is very convenient for chilling around. The facility, the room are good. The breakfast is delicious. Especially, the staff is super nice and helpful. If have a chance, I will be back to this hotel again.",50,3,"Hoi An, Vietnam",2,https://www.tripadvisor.com/Profile/thaonganvo95,thaonganvo95,June 2020,Best hotel in Hue,,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
May 2020,"In our opinion, this is the good hotel, but not is the best. With this Price (20 usd) we feel happy with our staying. The room was not big with basic equipment and facilities, cozy and fresh. The staff was friendly and helpful! Lovely!",50,191,"Ho Chi Minh City, Vietnam",2102,https://www.tripadvisor.com/Profile/KimMcnee,Kim,May 2020,Reasonable Price,,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Mar 2020,Having stayed at a sister hotel in Hanoi we had high hopes for this hotel. Some things are good. Mainly the staff who are super friendly and helpful. The position of the Hotel a short walk from the bars and restaurants but not noisy. Now the bad bits. It is very dated. I can only liken the feel of it to when I used to travel around the former soviet states in the early days and you took your own bath plugs. The room we had was large (needlessly so). It had a jacuzzi bath with a hand held shower. I am suspicious of jacuzzi baths as if not regularly cleaned they become pretty putrid. Having run the pump for 20 seconds the stench was unmistakable. Probably not cleaned for months. The hand held shower was stupidly powerful. I mean painfully so. It had no where to hang it on,30,156,"Shoeburyness, United Kingdom",266,https://www.tripadvisor.com/Profile/A9328WLsimonw,Simon W,March 2020,Bit of a shame,,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Mar 2020,"I appreciated the nice welcome with fruit juice and fresh fruits. The hotel is centrally located. The room features a large comfy bed but they don't have a king size duvet and instead, they had two single duvets. It still works... The bathroom was large, clean and functional with all kinds of amenities. No view but it was very quiet at least. Very good breakfast with à la carte and a buffet. Very friendly staff!!! The only negative point: it smelt like mildew. Was it from the filters of the AC???",50,330,"Alassio, Italy",1990,https://www.tripadvisor.com/Profile/LaurentCL2,LaurentCL2,March 2020,Perfect in every way!,NA,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Mar 2020,The rooms were a good size and very clean. The breakfast was sparse but did the job for a quick bite. The people were very courteous and pleasant to the guests. Not much of a view but were only there to sleep.,30,46,"South Milwaukee, Wisconsin",49,https://www.tripadvisor.com/Profile/thechristmasbabe,Beth A,February 2020,Great night sleep,NA,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Mar 2020,"Everything in this hotel is extremely dated. I don’t know how a hotel with black mold around the tub can have five stars. What does grout cost, 30 cents? I would have marked it terrible based on the room. However the staff were very friendly and helpful. Also, the food in the restaurant was quite good. The location is great. And, we only stayed for two nights, but they mopped the floors in our room when they cleaned, which I was impressed by.",30,23,"Los Angeles, California",76,https://www.tripadvisor.com/Profile/redplc,redplc,February 2020,Dated,,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Mar 2020,"Clean room, excellent staff, tasty breakfast. We enjoyed every moment of our stay and we we would definitely go back there. The hotel staff offered helpful recommendations for our stay in Hue and for our transportation. And we had an excellent journey from Da Nang airport to the hotel with the car provided by the hotel. Thank you!",50,4,NA,5,https://www.tripadvisor.com/Profile/1EBR,Eini,February 2020,Superb stay,NA,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Feb 2020,"I was booked to stay at this hotel by Viet Vision Travel. Hotel staff initially were very friendly and soon after I was settled in my room I had lunch in the Hotel dining room. The food was excellent and staff very courteous and friendly. In the afternoon I had a shower and found the both towels stunk of stale vomit. The smell was so bad on both towels that by the time I finished drying myself my body smell of stale vomit. I complained to the front desk and they provided new towels. I asked the bell boy to smell both towels and confirm my complaint. Just providing new towels is not sufficient. I had wiped my whole body with these towel, including my face! This was a health issue that was not taken seriously enough and I argued with my Tour Company to find another Hotel for me.",20,7,NA,20,https://www.tripadvisor.com/Profile/258lena,Len A,February 2020,Unclean,,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Feb 2020,"We initially had a bit of a hickup on the first night because of guests being very noisy in the hallway at a very early hour of the night (4:00AM). It wasn't of course the hotel's fault even if I would have liked some support from the front office to manage the issue. Anyways, in the end it was an exceptional mishap as the night auditor had to step out urgently and wasn't present on my call for complaint. I always say that a good hotel is also assessed by how it handles these unfortunate matters. On my way to breakfast after I communicated what had happened, I was immediately given a string of apologies and Mary, the manager was excellent in handling the matter. She was genuinely concerned and took action on offering complimentary things. We declined even though it was so nice",50,12,"Mouans-Sartoux, France",50,https://www.tripadvisor.com/Profile/174DavidM,David M,February 2020,Very nice peaceful hotel with excellent smiling & effective service,NA,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Feb 2020,"Have stayed at the Serene Palace Hotel four times and it never disappoints. Everything is perfect for us. The rooms are large and very comfortable. All amenities work well. The staff are an absolute asset to the hotel and really go out of their way to make sure your stay is enjoyable. The restaurant is the only place I eat at when I'm in Hue. They have a very extensive menu and everything is very well priced. I had a cocktail, a prawn cocktail and shared the chicken and cashews and it cost me $13.50. They have a lot of outside customers who eat at the restaurant as well.",50,23,"Perth, Australia",40,https://www.tripadvisor.com/Profile/carolw239,Carol W,February 2020,"Fabulous Hotel, Staff and Food",,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html
Feb 2020,"We booked this hotel very last minute, around 2 minutes before we walked into reception.

Hotel let us check in straight away, always a plus.

Girl at reception helped me every day - booked us a full day tour of Hue and also booked us a bus transfer to Hoi Ann plus our accommodation in Hoi Ann - this took her around 5 minutes which was very helpful.

Can't remember her name or what she looked like as she was wearing a face mask but she went above and beyond to make our stay an enjoyable one.

The restaurant is also of a very high standard. (Number 1 on tripadvisor at the time of writing)",50,31,"Greystones, Ireland",15,https://www.tripadvisor.com/Profile/172robing,Robin G,February 2020,Receptionist was very helpful,NA,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-or10-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
Feb 2020,"Recently stayed for five nights and pleased that we chose this hotel. Lengthy health questionnaire to complete on arrival and given juice/fruit etc.

Room was functional but clean. Bars on the window in our 3rd floor room for security purposes as it backed on to nearby roofs. Housekeeping very eager to get into room of a morning so could have done with Do Not Disturb sign being provided.

Breakfast was fine although maybe could have done with some additional cold meats/cheeses being offered. Ate in the restaurant one night and that was again good.

Location was excellent with all sorts of bars/restaurants within walking distance.

All the reception staff were very friendly and professional in sorting trips / laundry etc.

Special mention to the lovely Sally in the restaurant who went out of her way to talk to us everyday and made us feel very welcome.",40,62,"London, United Kingdom",72,https://www.tripadvisor.com/Profile/680MichaelD,Mike D,February 2020,Nice Stay,Trip type: Traveled as a couple,https://www.tripadvisor.com/Hotel_Review-g293926-d4357913-Reviews-or10-Hue_Serene_Palace_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
